spectrum_id,scan,Precursor_MZ,Charge,Smiles,INCHI,InChIKey_smiles,InChIKey_inchi
CCMSLIB00000085839,1104,405.231,1,C[C@@]12CC[C@H]3[C@@H](CC[C@]4(O)C[C@@H](O)CC[C@]34C=O)[C@@]2(O)CC[C@@H]1C5=CC(=O)OC5,N/A,ODJLBQGVINUMMR-HZXDTFASSA-N,
CCMSLIB00000085840,1105,162.056,1,Oc1cccc2c(O)nccc12,N/A,LFUJIPVWTMGYDG-UHFFFAOYSA-N,
CCMSLIB00000085841,1106,191.119,1,CNCCc1c[nH]c2ccc(O)cc12.OC(=O)C(=O)O,N/A,DYOZWAJOUTVNAF-UHFFFAOYSA-N,
CCMSLIB00000085842,1107,585.297,1,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)/C/6=C/C(=O)OC6)[C@H](O)[C@H](O)[C@H]1O.O,N/A,MVMUAXUYSJSGSG-LGEKDJQSSA-N,
CCMSLIB00000085843,1108,337.062,1,Cn1c(=O)n(C)c2[nH]c(nc2c1=O)c3ccc(cc3)S(=O)(=O)O.O,N/A,AYQOEZBHENEBEJ-UHFFFAOYSA-N,
CCMSLIB00000085844,1109,584.295,1,CN1C[C@@H](CC2[C@H]1Cc3c[nH]c4cccc2c34)C(=O)N[C@]5(C)O[C@@]6(O)[C@@H]7CCCN7C(=O)[C@H](Cc8ccccc8)N6C5=O.CS(=O)(=O)O,N/A,ADYPXRFPBQGGAH-WVVAGBSPSA-N,
CCMSLIB00000085845,1110,277.067,1,Nc1ccc(cc1)S(=O)(=O)NC(=O)c2ccccc2,N/A,PBCZLFBEBARBBI-UHFFFAOYSA-N,
CCMSLIB00000085846,1111,362.156,1,CC1COc2c(N3CCN(C)CC3)c(F)cc4c(=O)c(cn1c24)C(=O)O,N/A,GSDSWSVVBLHKDQ-UHFFFAOYSA-N,
CCMSLIB00000085847,1112,357.109,1,CO/C(=C\1/C(C(=C(C)N=C1C)[N+](=O)[O-])c2ccccc2C(F)(F)F)/O,N/A,YTMCTWONBYRCCU-NTCAYCPXSA-N,
CCMSLIB00000085848,1113,384.179,1,OCCOCCN1CCN(CC1)C2=Nc3ccccc3Sc4ccccc24,N/A,URKOMYMAXPYINW-UHFFFAOYSA-N,
CCMSLIB00000085849,1114,502.302,1,CC(C)(C(=O)O)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4.Cl,N/A,RRJFVPUCXDGFJB-UHFFFAOYSA-N,
CCMSLIB00000085850,1115,291.189,1,CN1CCc2c(Cc3ccccc3CC1)[nH]c4ccccc24,N/A,YEWGIGCYIAMFMA-UHFFFAOYSA-N,
CCMSLIB00000085851,1116,384.076,1,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(cc12)S(=O)(=O)N,N/A,HCRKCZRJWPKOAR-JTQLQIEISA-N,
CCMSLIB00000085852,1117,449.111,1,C[C@@H]1O[C@@H](Oc2c(oc3cc(O)cc(O)c3c2=O)c4ccc(O)c(O)c4)[C@H](O)[C@H](O)[C@H]1O.O,N/A,UGZLJOKGLBVBHF-IKGPWECESA-N,
CCMSLIB00000085853,1118,344.182,1,CN1CCC[C@@H]1CCO[C@](C)(c2ccccc2)c3ccc(Cl)cc3.[O-]C(=O)/C=C/C(=O)[O-],N/A,PMGQWSIVQFOFOQ-YKVZVUFRSA-L,
CCMSLIB00000085854,1119,338.03,1,CN1C(=C(O)c2sccc2S1(=O)=O)C(=O)Nc3ccccn3,N/A,LZNWYQJJBLGYLT-UHFFFAOYSA-N,
CCMSLIB00000085855,1120,390.037,1,NS(=O)(=O)c1cc2c(NC(NS2(=O)=O)C3C[C@@H]4C[C@H]3C=C4)cc1Cl,N/A,BOCUKUHCLICSIY-QJWLJZLASA-N,
CCMSLIB00000085856,1121,447.279,1,CCCCC(=O)O[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C)C(=O)CO,N/A,FZCHYNWYXKICIO-FZNHGJLXSA-N,
CCMSLIB00000085857,1122,253.099,1,NC(=O)N1c2ccccc2CC(=O)c3ccccc13,N/A,CTRLABGOLIVAIY-UHFFFAOYSA-N,
CCMSLIB00000085858,1123,528.192,1,COc1cccc2C(=O)c3c(O)c4C[C@@](O)(C[C@@H](O[C@@H]5C[C@@H](N)[C@@H](O)[C@@H](C)O5)c4c(O)c3C(=O)c12)C(=O)C.Cl,N/A,GUGHGUXZJWAIAS-YCPWTVMKSA-N,
CCMSLIB00000085859,1124,384.149,1,COc1ccc2[C@@H](OC(=O)c2c1OC)[C@H]3N(C)CCc4cc5OCOc5cc34,N/A,JZUTXVTYJDCMDU-RBUKOAKNSA-N,
CCMSLIB00000085860,1125,344.181,1,CN1CCCC1CCOC(C)(c2ccccc2)c3ccc(Cl)cc3.[O-]C(=O)/C=C/C(=O)[O-],N/A,PMGQWSIVQFOFOQ-WLHGVMLRSA-L,
CCMSLIB00000085861,1126,267.173,1,CC(C)NCC(O)COc1ccc(NC(=O)C)cc1,N/A,DURULFYMVIFBIR-UHFFFAOYSA-N,
CCMSLIB00000085862,1127,295.183,1,O[C@@H]([C@@H]1C[C@@H]2CCN1C[C@@H]2C=C)c3ccnc4ccccc34,N/A,KMPWYEUPVWOPIM-KODHJQJWSA-N,
CCMSLIB00000085863,1128,335.199,1,CCCN(CCC)C(=O)C(CCC(=O)O)NC(=O)c1ccccc1,N/A,DGMKFQYCZXERLX-UHFFFAOYSA-N,
CCMSLIB00000085864,1129,326.215,1,CCc1ccccc1OC[C@@H](O)CN[C@H]2CCCc3ccccc23.OC(=O)C(=O)O,N/A,XTBQNQMNFXNGLR-MKSBGGEFSA-N,
CCMSLIB00000085865,1130,393.211,1,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,N/A,UREBDLICKHMUKA-CXSFZGCWSA-N,
CCMSLIB00000085866,1131,444.182,1,CN(C)S(=O)(=O)c1ccc2Sc3ccccc3/C(=C/CCN4CCN(C)CC4)/c2c1,N/A,GFBKORZTTCHDGY-UWVJOHFNSA-N,
CCMSLIB00000085867,1132,386.186,1,CC(Cc1ccccc1)Nc2ncnc3n(cnc23)C4OC(CO)C(O)C4O,N/A,RIRGCFBBHQEQQH-UHFFFAOYSA-N,
