CLUSTERID1	CLUSTERID2	Cosine
8	276	0.9996633908186261
8	402	0.9996180232344172
8	433	0.999820307435211
8	455	0.9996368213664184
8	497	0.9996261408025431
8	630	0.9996810067178362
8	655	0.9996219883468762
8	676	0.9996361202084092
8	712	0.9996405529494963
8	966	0.9997769059469899
8	1077	0.9998272832902595
8	1190	0.9996001617611696
8	1200	0.9996472951557704
8	1201	0.9996221515209681
10	66	0.9997234992774267
10	76	0.9996367636519127
10	107	0.9996298814856059
10	147	0.9996138970357005
10	161	0.9996117997748786
10	167	0.9996502724560257
10	249	0.9997055230000983
10	261	0.9998188569533424
10	269	0.9997572853654839
10	299	0.9996100056169861
10	313	0.9996288678878353
10	329	0.9996629866420446
10	347	0.9996547300291925
10	388	0.9996166276810583
10	423	0.999708269086008
10	432	0.9996462696093351
10	445	0.9997634915202958
10	474	0.9996053957957645
10	500	0.9998244336074413
10	505	0.9997419235352272
10	538	0.9997399463449763
10	608	0.9997243816216507
10	649	0.9996321798538301
10	653	0.9996266845239146
10	661	0.9997632420019673
10	705	0.9996058332257944
10	743	0.9996364386053804
10	751	0.9998323973372711
10	767	0.9996704693022251
10	771	0.9996524893703205
10	801	0.9996072657677981
10	828	0.9997078886372113
10	849	0.9996131731342563
10	876	0.9998676948850608
10	882	0.999605014456271
10	945	0.9996980916234917
10	957	0.9998246935039583
10	964	0.9997391833037834
10	975	0.9998530957071436
10	976	0.9996003498254846
10	1007	0.9996486106808693
10	1018	0.9996666014199248
10	1075	0.9996334434546208
10	1147	0.9996494069058399
10	1167	0.9996511756415716
10	1180	0.9996906515575592
10	1181	0.9997081282097522
10	1210	0.9996962990917058
10	1291	0.9997392449011374
10	1308	0.9996127478158635
10	1309	0.9998454107681107
10	1342	0.9997273736921086
10	1343	0.9997942915419428
10	1371	0.9996896850291251
10	1374	0.9996936693193474
10	1387	0.999619114158872
10	1460	0.9996441099168596
11	17	0.9997199192461903
11	55	0.9997687582388884
11	59	0.999738600918615
11	66	0.9996916625641833
11	102	0.9998834218664536
11	111	0.999725348999781
11	120	0.9996002245378364
11	124	0.9996789844894798
11	136	0.9996195368310257
11	137	0.9998669005237708
11	142	0.9997122664458431
11	144	0.9996070425200181
11	147	0.9996227731024964
11	148	0.9996601279871621
11	159	0.9997682381574042
11	192	0.9997240466989797
11	220	0.9996522768850079
11	251	0.9996594802615981
11	261	0.9996123172474884
11	276	0.9997261791929807
11	282	0.9997737390391628
11	284	0.9996390257075798
11	293	0.9996326201474748
11	301	0.9996457586191323
11	306	0.9997304854941267
11	308	0.9996701153450656
